,favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
0,0,Twitter for iPhone,The #MarchForLife is so important. To all of you marching --- you have my full support!,,False,Fri Jan 27 16:27:02 +0000 2017,0,825017279209410561
1,2077,Twitter for Android,"Mexico has taken advantage of the U.S. for long enough. Massive trade deficits &amp; little help on the very weak border must change, NOW!",,False,Fri Jan 27 13:19:10 +0000 2017,535,824970003153842176
2,1,Twitter for Android,"Look forward to seeing final results of VoteStand. Gregg Phillips and crew say at least 3,000,000 votes were illegal. We must do better!",,False,Fri Jan 27 13:12:52 +0000 2017,1,824968416486387713
3,62,Twitter for iPhone,Miami-Dade Mayor drops sanctuary policy. Right decision. Strong! https://t.co/MtPvaDC4jM,,False,Thu Jan 26 23:53:37 +0000 2017,22,824767281146245120
4,291,Twitter for iPhone,Will be interviewed by @SeanHannity on @FoxNews at 10:00pm tonight. Enjoy!,,False,Thu Jan 26 23:45:28 +0000 2017,95,824765229527605248
5,928,Twitter for iPhone,"Spoke at the Congressional @GOP Retreat in Philadelphia, PA. this afternoon w/ @VP, @SenateMajLdr, @SpeakerRyan. Th… https://t.co/ALSADGrwoe",,False,Thu Jan 26 19:21:17 +0000 2017,171,824698743630995457
6,9,Twitter for iPhone,"Spoke at the Congressional @GOP Retreat in Philadelphia, PA. this afternoon w/ @VP, @SenMajLeader, @SpeakerRyan. Th… https://t.co/s4sTbSyBSR",,False,Thu Jan 26 19:15:44 +0000 2017,9,824697349335293952
7,1705,Twitter for Android,"of jobs and companies lost. If Mexico is unwilling to pay for the badly needed wall, then it would be better to cancel the upcoming meeting.",,False,Thu Jan 26 13:55:03 +0000 2017,445,824616644370714627
8,15,Twitter for Android,The U.S. has a 60 billion dollar trade deficit with Mexico. It has been a one-sided deal from the beginning of NAFTA with massive numbers...,,False,Thu Jan 26 13:51:46 +0000 2017,5,824615820391305216
9,202,Twitter for Android,"Ungrateful TRAITOR Chelsea Manning, who should never have been released from prison, is now calling President Obama a weak leader. Terrible!",,False,Thu Jan 26 11:04:24 +0000 2017,105,824573698774601729
10,1089,Twitter for Android,Interview with David Muir of @ABC News in 10 minutes. Enjoy!,,False,Thu Jan 26 02:48:25 +0000 2017,220,824448880993509376
11,105,Twitter for Android,"""@romoabcnews: .@DavidMuir first @POTUS interview since taking office.  Tonight on @ABCWorldNews @ABC2020 tonight. https://t.co/I4Vz1mRdBK""",,True,Thu Jan 26 02:45:32 +0000 2017,32,824448156935081984
12,2,Twitter for iPhone,"As your President, I have no higher duty than to protect the lives of the American people. https://t.co/o7YNUNwb8f",,False,Thu Jan 26 02:14:56 +0000 2017,1,824440456813707265
13,104,Twitter Web Client,"Beginning today, the United States of America gets back control of its borders. Full speech from today @DHSgov:… https://t.co/8aDaHsAhg9",,False,Thu Jan 26 00:03:33 +0000 2017,38,824407390674157568
14,0,Twitter for iPhone,I will be interviewed by @DavidMuir tonight at 10 o'clock on @ABC. Will be my first interview from the White House.… https://t.co/4zuOrRdcoc,,False,Wed Jan 25 22:05:59 +0000 2017,0,824377804590563339
15,1,Twitter for Android,I will be making my Supreme Court pick on Thursday of next week.Thank you!,,False,Wed Jan 25 12:17:01 +0000 2017,0,824229586091307008
16,22,Twitter for Android,"even, those registered to vote who are dead (and many for a long time). Depending on results, we will strengthen up voting procedures!",,False,Wed Jan 25 12:13:46 +0000 2017,15,824228768227217408
17,1,Twitter for Android,"I will be asking for a major investigation into VOTER FRAUD, including those registered to vote in two states, those who are illegal and....",,False,Wed Jan 25 12:10:01 +0000 2017,0,824227824903090176
18,7573,Twitter for Android,"Big day planned on NATIONAL SECURITY tomorrow. Among many other things, we will build the wall!",,False,Wed Jan 25 02:37:48 +0000 2017,2147,824083821889015809
19,25336,Twitter for Android,"If Chicago doesn't fix the horrible ""carnage"" going on, 228 shootings in 2017 with 42 killings (up 24% from 2016), I will send in the Feds!",,False,Wed Jan 25 02:25:40 +0000 2017,7845,824080766288228352
20,30926,Twitter for Android,Congratulations to @FoxNews for being number one in inauguration ratings. They were many times higher than FAKE NEWS @CNN - public is smart!,,False,Wed Jan 25 02:16:19 +0000 2017,7142,824078417213747200
21,37754,Twitter for iPhone,Great meeting with Ford CEO Mark Fields and General Motors CEO Mary Barra at the @WhiteHouse today. https://t.co/T0eIgO6LP8,,False,Wed Jan 25 00:46:57 +0000 2017,7748,824055927200423936
22,10474,Twitter for iPhone,Signing orders to move forward with the construction of the Keystone XL and Dakota Access pipelines in the Oval Off… https://t.co/aOxmfO0vOK,,False,Tue Jan 24 17:49:17 +0000 2017,2563,823950814163140609
23,9,Twitter for iPhone,"Great meeting with automobile industry leaders at the @WhiteHouse this morning. Together, we will #MAGA! https://t.co/OXdiLOkGsZ",,False,Tue Jan 24 17:04:01 +0000 2017,2,823939422743830528
24,9852,Twitter for iPhone,A photo delivered yesterday that will be displayed in the upper/lower press hall. Thank you Abbas! https://t.co/Uzp0ivvRp0,,False,Tue Jan 24 16:58:06 +0000 2017,2061,823937936056008704
25,61630,Twitter for Android,Will be meeting at 9:00 with top automobile executives concerning jobs in America. I want new plants to be built here for cars sold here!,,False,Tue Jan 24 11:11:47 +0000 2017,11695,823850781946343427
26,128414,Twitter for Android,Busy week planned with a heavy focus on jobs and national security. Top executives coming in at 9:00 A.M. to talk manufacturing in America.,,False,Mon Jan 23 11:38:16 +0000 2017,21293,823495059010109440
27,27781,Twitter for Android,"Peaceful protests are a hallmark of our democracy. Even if I don't always agree, I recognize the rights of people to express their views.",,False,Sun Jan 22 14:23:17 +0000 2017,7492,823174199036542980
28,52398,Twitter for Android,"Wow, television ratings just out: 31 million people watched the Inauguration, 11 million more than the very good ratings from 4 years ago!",,False,Sun Jan 22 12:51:36 +0000 2017,11767,823151124815507460
29,53149,Twitter for Android,Watched protests yesterday but was under the impression that we just had an election! Why didn't these people vote? Celebs hurt cause badly.,,False,Sun Jan 22 12:47:21 +0000 2017,14153,823150055418920960
30,39795,Twitter for Android,"Had a great meeting at CIA Headquarters yesterday, packed house, paid great respect to Wall, long standing ovations, amazing people. WIN!",,False,Sun Jan 22 12:35:09 +0000 2017,6724,823146987117772800
31,0,Twitter for iPhone,"RT @WhiteHouse: ""Do not allow anyone to tell you that it cannot be done. No challenge can match the HEART and FIGHT and SPIRIT of America.""…",,True,Sat Jan 21 23:54:31 +0000 2017,14597,822955565949272065
32,150772,Twitter for Android,A fantastic day and evening in Washington D.C.Thank you to @FoxNews and so many other news outlets for the GREAT reviews of the speech!,,False,Sat Jan 21 11:53:41 +0000 2017,20744,822774162011910144
33,244612,Twitter for iPhone,"THANK YOU for another wonderful evening in Washington, D.C. TOGETHER, we will MAKE AMERICA GREAT AGAIN🇺🇸 https://t.co/V3aoj9RUh4",,False,Sat Jan 21 04:56:15 +0000 2017,47008,822669114237943808
34,44789,Twitter for iPhone,"TO ALL AMERICANS🇺🇸
https://t.co/D7Es6ie4fY",,False,Fri Jan 20 18:13:48 +0000 2017,9764,822507434396753921
35,3388,Twitter for iPhone,"So to all Americans, in every city near and far, small and large, from mountain to mountain...https://t.co/cZKkrGXLSi",,False,Fri Jan 20 18:00:43 +0000 2017,922,822504142178500608
36,6915,Twitter for iPhone,It is time to remember that...https://t.co/ZKyOiOor62,,False,Fri Jan 20 17:58:24 +0000 2017,1788,822503558369181697
37,22727,Twitter for iPhone,"We will follow two simple rules: BUY AMERICAN &amp; HIRE AMERICAN!
#InaugurationDay #MAGA🇺🇸",,False,Fri Jan 20 17:55:44 +0000 2017,7266,822502887477673984
38,25127,Twitter for iPhone,We will bring back our jobs. We will bring back our borders. We will bring back our wealth - and we will bring back our dreams!,,False,Fri Jan 20 17:54:36 +0000 2017,7350,822502601304526848
39,33,Twitter for iPhone,"The forgotten men and women of our country will be forgotten no longer. From this moment on, it’s going to be #AmericaFirst🇺🇸",,False,Fri Jan 20 17:54:00 +0000 2017,11,822502450007515137
40,7393,Twitter for iPhone,"January 20th 2017, will be remembered as the day the people became the rulers of this nation again.",,False,Fri Jan 20 17:53:17 +0000 2017,2903,822502270503972872
41,11009,Twitter for iPhone,"What truly matters is not which party controls our government, but whether our government is controlled by the people.",,False,Fri Jan 20 17:52:45 +0000 2017,3693,822502135233384448
42,13936,Twitter for iPhone,"power from Washington, D.C. and giving it back to you, the American People. #InaugurationDay",realDonaldTrump,False,Fri Jan 20 17:51:58 +0000 2017,4175,822501939267141634
43,14947,Twitter for iPhone,"Today we are not merely transferring power from one Administration to another, or from one party to another – but we are transferring...",,False,Fri Jan 20 17:51:25 +0000 2017,4576,822501803615014918
44,200102,Twitter for Android,It all begins today! I will see you at 11:00 A.M. for the swearing-in. THE MOVEMENT CONTINUES - THE WORK BEGINS!,,False,Fri Jan 20 12:31:53 +0000 2017,64710,822421390125043713
45,31370,Twitter for iPhone,"Thank you for a wonderful evening in Washington, D.C. #Inauguration https://t.co/a6xpFQTHj5",,False,Fri Jan 20 04:24:33 +0000 2017,7090,822298747421986828
46,87831,Twitter for iPhone,"Thank you for joining us at the Lincoln Memorial tonight- a very special evening! Together, we are going to MAKE AM… https://t.co/OSxa3BamHs",,False,Fri Jan 20 00:40:51 +0000 2017,21362,822242449053614081
47,13600,Twitter for iPhone,"Join me at 4pm over at the Lincoln Memorial with my family!
#Inauguration2017 https://t.co/GQeQpJOgWz",,False,Thu Jan 19 20:21:36 +0000 2017,3382,822177206633955328
48,13767,Twitter for Android,Great Concert at 4:00 P.M. today at Lincoln Memorial. Enjoy!,,False,Thu Jan 19 20:18:32 +0000 2017,2668,822176438627536897
49,16405,Twitter for iPhone,On my way! #Inauguration2017 https://t.co/hOuMbxGnpe,,False,Thu Jan 19 20:13:57 +0000 2017,3669,822175285151928320
50,40432,Twitter for Android,"the American people. I have no doubt that we will, together, MAKE AMERICA GREAT AGAIN!",,False,Thu Jan 19 13:02:18 +0000 2017,10738,822066653953458177
51,38575,Twitter for Android,"Getting ready to leave for Washington, D.C. The journey begins and I will be working and fighting very hard to make it a great journey for..",,False,Thu Jan 19 13:00:13 +0000 2017,8670,822066132307808256
52,33317,Twitter for Android,"""It wasn't Donald Trump that divided this country, this country has been divided for a long time!"" Stated today by Reverend Franklin Graham.",,False,Thu Jan 19 12:52:22 +0000 2017,8839,822064153426857984
53,49426,Twitter for iPhone,Thank you to our amazing Wounded Warriors for their service. It was an honor to be with them tonight in D.C.… https://t.co/Qj5cpfaykD,,False,Thu Jan 19 04:01:40 +0000 2017,11098,821930600290521089
54,3232,Twitter for iPhone,Great seeing @TheLeeGreenwood  and Kimberly at this evenings VP dinner! #GodBlessTheUSA https://t.co/SxVmaWvOFT,,False,Thu Jan 19 01:54:13 +0000 2017,610,821898525432811520
55,43658,Twitter Web Client,"Looking forward to a speedy recovery for George and Barbara Bush, both hospitalized. Thank you for your wonderful letter!",,False,Wed Jan 18 22:21:02 +0000 2017,8361,821844875268255744
56,8648,Twitter for iPhone,"Writing my inaugural address at the Winter White House, Mar-a-Lago, three weeks ago. Looking forward to Friday.… https://t.co/J0ojOXjrga",,False,Wed Jan 18 17:33:25 +0000 2017,2221,821772494864580614
